;long;lat;road;fuel_supply;restaurant;snack_bar;convenience_store;public_phone;hotel;mechanics;borrower;money_supply;site_size_m2;vacancy_length
;-67356917;-9751083;BR-317;o;o;o;o;o;o;o;o;o;600;6
;-67355528;-9755944;BR-317;1;o;o;1;o;o;o;o;o;200;2
;-67440083;-9885917;BR-317;1;o;o;1;o;o;o;o;o;300;3
;-67676291;-10565319;BR-317;1;1;o;1;o;o;o;o;o;4000;30
;-67675722;-10569722;BR-317;1;o;o;1;1;1;o;o;o;1000;10
;-67677806;-10576806;BR-317;1;o;o;1;o;o;o;o;1;400;2
;-68744027;-11018686;BR-317;1;o;o;1;o;o;o;o;1;1000;10
;-68744092;-11015684;BR-317;1;o;1;1;o;o;o;o;o;o;o
;-68741639;-11012639;BR-317;1;o;o;1;o;o;o;o;o;400;4
;-69564083;-10932444;BR-317;1;o;o;o;o;o;o;o;o;800;8
;-67790972;-10010944;BR-364;1;1;1;1;1;o;1;1;1;20000;200
;-67848444;-10006083;BR-364;1;o;o;1;o;o;o;o;o;2400;30
;-67890684;-9907735;BR-364;o;1;o;1;1;1;1;o;o;1000;10
;-67920952;-9855265;BR-364;1;o;o;1;1;o;o;o;o;600;6
;-67949645;-9833618;BR-364;1;o;1;1;o;o;o;o;o;o;o
;-67950769;-9832076;BR-364;1;o;o;1;o;o;o;o;o;o;o
;-35838944;-9396000;BR-101;1;1;1;1;1;1;1;1;o;;70
;-35839056;-9396417;BR-101;1;1;1;1;1;o;1;1;o;;120
;-35839889;-9408806;BR-101;1;1;1;1;1;1;1;1;o;;100
;-35836889;-9430083;BR-101;1;1;1;1;1;1;1;1;o;;60
;-36109583;-9796694;BR-101;1;1;1;o;1;1;o;o;o;;50
;-36110861;-9799944;BR-101;1;1;1;1;1;1;1;1;1;;120
;-36358061;-9902056;BR-101;1;1;1;1;1;1;1;1;o;;100
;-36545056;-9957778;BR-101;1;1;1;1;1;1;1;1;o;;100
;-36570361;-9985528;BR-101;1;1;1;1;1;o;1;1;o;;80
;-36037417;-9037694;BR-104;1;1;1;1;1;o;o;1;o;;30
;-37300167;-9328806;BR-316;1;1;1;1;o;1;o;1;o;3600;30
;-37264306;-9364306;BR-316;1;1;1;1;1;1;1;o;o;6000;30
;-37237278;-9372111;BR-316;1;1;1;1;1;1;o;o;o;1000;5
;-37136972;-9387028;BR-316;1;o;o;o;1;o;o;1;o;2000;15
;-37089222;-9389333;BR-316;1;1;1;o;o;o;o;1;o;8000;20
;-36993444;-9404583;BR-316;1;o;o;o;o;o;o;o;o;10000;20
;-36922250;-9399583;BR-316;1;o;o;1;1;o;o;o;o;2000;10
;-36814944;-9389222;BR-316;1;1;1;o;o;o;o;1;o;5000;30
;-36756806;-9390139;BR-316;1;1;1;o;1;o;o;1;o;2000;10
;-36689444;-9405639;BR-316;1;1;1;1;1;o;o;1;o;8000;40
